,,area,decoration_level,distance_to_metro,house_price,num_floor,rooms,unit_price
659,,73.92,精装,694,455,9,3,61553
660,,61.62,精装,986,351,27,3,56962
661,,49.32,中装,775,355,10,2,71979
662,,64.26,精装,440,650,18,3,101152
663,,77.31,精装,760,440,14,3,56914
664,,50.51,简装,1027,480,6,2,95031
665,,43.71,精装,808,368,16,2,84191
666,,71.93,精装,842,385,6,4,53524
667,,92.5,中装,736,518,18,3,56000
668,,60.57,精装,892,330,24,2,54482
669,,146.17,简装,1261,565,6,5,38654
670,,68.81,中装,966,355,20,3,51591
671,,80.17,中装,666,650,20,4,81078
672,,95.68,中装,619,610,22,3,63754
673,,59.44,简装,735,330,6,3,55518
674,,71,中装,459,368,6,3,51831
675,,105.26,精装,882,840,14,4,79802
676,,59.6,中装,1291,780,18,3,130872
677,,85.22,精装,1044,470,15,4,55151
678,,108.03,精装, ,421,6,4,38971
679,,74.93,精装, ,275,16,3,36701
680,,123.65,精装,672,760,6,4,61464
681,,125.91,精装,1047,490,13,4,38917
682,,150.17,精装,404,2250,7,4,149830
683,,58.69,精装,479,440,18,3,74970
684,,55.01,中装,548,375,6,3,68169
685,,57.3,精装,620,618,6,3,107853
686,,68.81,简装,1036,680,6,4,98823
687,,97.87,精装,1194,645,25,4,65904
688,,45.9,中装,290,608,6,2,132462
689,,60.7,精装,1036,480,6,3,79077
690,,56.21,精装,833,305,6,3,54261
691,,90.25,精装,1018,710,28,3,78670
692,,72.32,精装,880,392,23,3,54204
693,,51.09,简装,608,215,29,2,42083
694,,93.92,精装,896,550,23,4,58560
695,,82.17,中装,1349,195,6,3,23731
696,,72.99,中装,1257,720,6,4,98644
697,,48.36,中装, ,300,21,2,62035
698,,51.45,精装,471,580,6,2,112731
699,,42.5,精装,860,470,6,2,110588
700,,47.91,精装,457,295,30,2,61574
701,,97.24,精装, ,310,14,3,31880
702,,123.44,中装,588,890,21,3,72100
703,,130.18,简装,457,750,30,4,57613
704,,69.78,中装,509,458,6,4,65635
705,,86.2,中装, ,775,20,3,89907
706,,83.9,中装,1071,780,16,4,92968
707,,94.19,中装,602,340,9,3,36097
708,,68.24,中装,609,532,4,3,77960
709,,88.58,精装,820,350,6,3,39512
710,,91.69,精装,1300,600,27,4,65438
711,,54.61,精装,434,280,19,2,51273
712,,55,精装,477,460,6,3,83636
713,,52.95,简装,501,290,7,2,54769
714,,173.62,精装, ,1300,18,5,74876
715,,85.09,精装,729,443,15,3,52063
716,,45.06,简装, ,247,6,2,54816
717,,122.38,中装,1443,480,9,5,39222
718,,54.04,精装,344,425,6,3,78645
719,,68.85,精装,1397,365,22,2,53014
720,,89.74,精装, ,440,11,4,49031
721,,115.25,中装,1300,700,27,5,60738
722,,73.7,中装,538,1060,8,3,143826
723,,72.94,中装,530,560,5,4,76775
724,,82.81,中装,746,498,18,4,60138
725,,58.4,简装,743,475,6,3,81336
726,,58.35,中装,530,320,6,3,54841
727,,226.42,精装,1047,640,13,6,28266
728,,86.3,精装,1210,580,6,4,67207
729,,60.6,简装,620,780,6,3,128713
730,,41.99,精装,904,462,6,2,110026
731,,88.35,中装,1060,400,14,4,45274
732,,40.45,精装,1097,260,28,2,64277
733,,85.04,简装,587,510,14,3,59972
734,,82.33,中装,420,450,6,4,54658
735,,112.72,精装,327,425,35,5,37704
736,,24.43,简装,607,170,14,2,69587
737,,52.19,精装,70,365,16,3,69937
738,,62.68,毛坯,461,230,4,4,36694
739,,96.65,简装,351,550,25,3,56906
740,,58.3,简装,956,650,7,3,111492
741,,50,简装,832,385,5,3,77000
742,,40.88,精装,702,249,6,2,60910
743,,98.11,精装,401,680,11,4,69310
744,,89.88,精装,912,400,16,4,44504
745,,94.99,精装,655,740,27,3,77903
746,,82.4,精装,869,865,16,3,104976
747,,73.27,中装,504,320,21,3,43674
748,,51.63,精装,296,400,6,3,77474
749,,67.1,中装,662,395,18,4,58867
