model_saved,./models_cutout/model_sgd2_cutout
ckpt,./models_cutout/model_sgd2_cutout_epoch_100
test_only,False
log,logs/resnet18_sgd_cutout.csv
epochs,200
gpu,1
optimizer,sgd
use_cutout,True

epoch,train_acc,valid_acc,lr
100,0.9716888888888889,0.9396,0.020000000000000004
101,0.9742888888888889,0.9406,0.020000000000000004
102,0.9740222222222222,0.9374,0.020000000000000004
103,0.9732444444444445,0.9346,0.020000000000000004
104,0.9725555555555555,0.9368,0.020000000000000004
105,0.9738222222222223,0.936,0.020000000000000004
106,0.9729777777777778,0.9366,0.020000000000000004
107,0.9727777777777777,0.9416,0.020000000000000004
108,0.9744222222222222,0.9386,0.020000000000000004
109,0.9736888888888889,0.9346,0.020000000000000004
110,0.9747111111111111,0.9362,0.020000000000000004
111,0.975,0.9372,0.020000000000000004
112,0.9721555555555556,0.9412,0.020000000000000004
113,0.9748444444444444,0.9398,0.020000000000000004
114,0.9737777777777777,0.9396,0.020000000000000004
115,0.9749777777777778,0.9368,0.020000000000000004
116,0.9751777777777778,0.9344,0.020000000000000004
117,0.9735777777777778,0.9344,0.020000000000000004
118,0.9758666666666667,0.9344,0.020000000000000004
119,0.9756888888888889,0.9386,0.020000000000000004
120,0.9733777777777778,0.9396,0.004000000000000001
121,0.9792888888888889,0.9428,0.004000000000000001
122,0.9802222222222222,0.9428,0.004000000000000001
123,0.9811555555555556,0.9438,0.004000000000000001
124,0.9835555555555555,0.9414,0.004000000000000001
125,0.9829333333333333,0.945,0.004000000000000001
126,0.9840666666666666,0.943,0.004000000000000001
127,0.9840444444444445,0.9436,0.004000000000000001
128,0.9844444444444445,0.9428,0.004000000000000001
129,0.9839333333333333,0.9426,0.004000000000000001
130,0.9835111111111111,0.9424,0.004000000000000001
131,0.9839555555555556,0.9434,0.004000000000000001
132,0.9842444444444445,0.9438,0.004000000000000001
133,0.9849111111111111,0.9422,0.004000000000000001
134,0.9847555555555556,0.9444,0.004000000000000001
135,0.9847555555555556,0.9438,0.004000000000000001
136,0.984,0.9446,0.004000000000000001
137,0.9838666666666667,0.943,0.004000000000000001
138,0.9850888888888889,0.9422,0.004000000000000001
139,0.9852,0.9424,0.004000000000000001
140,0.9859333333333333,0.9456,0.004000000000000001
141,0.9863777777777778,0.9422,0.004000000000000001
142,0.9856444444444444,0.9422,0.004000000000000001
143,0.9857555555555556,0.944,0.004000000000000001
144,0.9851555555555556,0.9448,0.004000000000000001
145,0.9856222222222222,0.945,0.004000000000000001
146,0.9858,0.9424,0.004000000000000001
147,0.9859777777777777,0.9416,0.004000000000000001
148,0.9863333333333333,0.942,0.004000000000000001
149,0.9871555555555556,0.942,0.004000000000000001
150,0.9850444444444444,0.9442,0.004000000000000001
151,0.9858222222222223,0.9434,0.004000000000000001
152,0.9863333333333333,0.9432,0.004000000000000001
153,0.9871111111111112,0.9418,0.004000000000000001
154,0.9866222222222222,0.9426,0.004000000000000001
155,0.9867555555555556,0.943,0.004000000000000001
156,0.9877555555555556,0.9438,0.004000000000000001
157,0.9876666666666667,0.9454,0.004000000000000001
158,0.9866888888888888,0.9446,0.004000000000000001
159,0.9868222222222223,0.9448,0.004000000000000001
160,0.9860888888888889,0.9422,0.0008000000000000003
161,0.9881555555555556,0.9432,0.0008000000000000003
162,0.9879777777777777,0.9432,0.0008000000000000003
163,0.9874,0.9434,0.0008000000000000003
164,0.9879777777777777,0.942,0.0008000000000000003
165,0.9876,0.9438,0.0008000000000000003
166,0.9886,0.9434,0.0008000000000000003
167,0.9885555555555555,0.9428,0.0008000000000000003
168,0.9879111111111111,0.9442,0.0008000000000000003
169,0.9876666666666667,0.9436,0.0008000000000000003
170,0.9873111111111111,0.9442,0.0008000000000000003
171,0.9885333333333334,0.9436,0.0008000000000000003
172,0.9877555555555556,0.9438,0.0008000000000000003
173,0.9888222222222223,0.9444,0.0008000000000000003
174,0.9892888888888889,0.9438,0.0008000000000000003
175,0.9878444444444444,0.9438,0.0008000000000000003
176,0.9884666666666667,0.9442,0.0008000000000000003
177,0.9871333333333333,0.943,0.0008000000000000003
178,0.9887333333333334,0.944,0.0008000000000000003
179,0.9890444444444444,0.9442,0.0008000000000000003
180,0.9888666666666667,0.9444,0.0008000000000000003
181,0.9885555555555555,0.9432,0.0008000000000000003
182,0.9895555555555555,0.9452,0.0008000000000000003
183,0.9882222222222222,0.9442,0.0008000000000000003
184,0.9889333333333333,0.944,0.0008000000000000003
185,0.9876,0.9436,0.0008000000000000003
186,0.9886666666666667,0.9444,0.0008000000000000003
187,0.9880888888888889,0.9442,0.0008000000000000003
188,0.9880222222222222,0.9432,0.0008000000000000003
189,0.9894,0.9446,0.0008000000000000003
190,0.9889555555555556,0.9438,0.0008000000000000003
191,0.9890444444444444,0.944,0.0008000000000000003
192,0.9886888888888888,0.943,0.0008000000000000003
193,0.9889555555555556,0.9436,0.0008000000000000003
194,0.9883333333333333,0.945,0.0008000000000000003
195,0.9886444444444444,0.9432,0.0008000000000000003
196,0.9891555555555556,0.9438,0.0008000000000000003
197,0.9882888888888889,0.945,0.0008000000000000003
198,0.9885555555555555,0.9444,0.0008000000000000003
199,0.9896222222222222,0.943,0.0008000000000000003
200,0.9887333333333334,0.9434,0.0008000000000000003
