optimizer,sgd
gpu,1
log,logs/resnet18_sgd_cutout.csv
epochs,200
use_cutout,True
model_saved,./models_cutout/model_sgd2_cutout
ckpt,
test_only,False

epoch,train_acc,valid_acc,lr
1,0.34713333333333335,0.4274,0.1
2,0.48004444444444444,0.5486,0.1
3,0.5577555555555556,0.599,0.1
4,0.617,0.679,0.1
5,0.6590444444444444,0.6702,0.1
6,0.6862,0.7348,0.1
7,0.7106444444444444,0.7544,0.1
8,0.7334444444444445,0.7852,0.1
9,0.7438444444444444,0.7628,0.1
10,0.7602,0.7796,0.1
11,0.7726222222222222,0.783,0.1
12,0.7829555555555555,0.8024,0.1
13,0.7908444444444445,0.81,0.1
14,0.7988888888888889,0.8056,0.1
15,0.8081777777777778,0.7964,0.1
16,0.8122444444444444,0.8322,0.1
17,0.8198,0.8612,0.1
18,0.8232444444444444,0.8074,0.1
19,0.8305555555555556,0.8478,0.1
20,0.8369555555555556,0.8584,0.1
21,0.8387555555555556,0.8338,0.1
22,0.8422888888888889,0.8426,0.1
23,0.8485333333333334,0.8582,0.1
24,0.8516,0.8498,0.1
25,0.8563111111111111,0.8726,0.1
26,0.8583555555555555,0.87,0.1
27,0.8621555555555556,0.8632,0.1
28,0.8649111111111111,0.8752,0.1
29,0.8694888888888889,0.8624,0.1
30,0.8694666666666667,0.8768,0.1
31,0.8733333333333333,0.8688,0.1
32,0.8770444444444444,0.8686,0.1
33,0.8788222222222222,0.8808,0.1
34,0.8792666666666666,0.8878,0.1
35,0.8796888888888889,0.867,0.1
36,0.8834,0.8976,0.1
37,0.8873555555555556,0.8308,0.1
38,0.8870222222222223,0.8592,0.1
39,0.8894444444444445,0.8938,0.1
40,0.8890444444444444,0.8966,0.1
41,0.896,0.8938,0.1
42,0.8949777777777778,0.8838,0.1
43,0.8956666666666667,0.8958,0.1
44,0.8983333333333333,0.8752,0.1
45,0.8992888888888889,0.8724,0.1
46,0.9021555555555556,0.896,0.1
47,0.9025555555555556,0.9076,0.1
48,0.9050666666666667,0.8916,0.1
49,0.9028666666666667,0.896,0.1
50,0.9063777777777777,0.9022,0.1
51,0.9076444444444445,0.8964,0.1
52,0.9094,0.886,0.1
53,0.9094666666666666,0.8892,0.1
54,0.9101111111111111,0.91,0.1
55,0.91,0.9018,0.1
56,0.9132444444444444,0.8896,0.1
57,0.9123777777777777,0.9012,0.1
58,0.9153555555555556,0.8856,0.1
59,0.9154,0.9052,0.1
60,0.9173333333333333,0.9022,0.020000000000000004
61,0.9424888888888889,0.9338,0.020000000000000004
62,0.9504666666666667,0.9362,0.020000000000000004
63,0.9551111111111111,0.9358,0.020000000000000004
64,0.9547555555555556,0.9342,0.020000000000000004
65,0.9568222222222222,0.937,0.020000000000000004
66,0.9603555555555555,0.9366,0.020000000000000004
67,0.9591777777777778,0.9336,0.020000000000000004
68,0.9612222222222222,0.9378,0.020000000000000004
69,0.9618,0.9374,0.020000000000000004
70,0.9609333333333333,0.9372,0.020000000000000004
71,0.9613333333333334,0.9388,0.020000000000000004
72,0.9633111111111111,0.9412,0.020000000000000004
73,0.9649777777777778,0.9378,0.020000000000000004
74,0.9654,0.9382,0.020000000000000004
75,0.9654222222222222,0.9388,0.020000000000000004
76,0.9669555555555556,0.9404,0.020000000000000004
77,0.9651777777777778,0.9412,0.020000000000000004
78,0.9662666666666667,0.9398,0.020000000000000004
79,0.9678666666666667,0.9408,0.020000000000000004
80,0.9665111111111111,0.9392,0.020000000000000004
81,0.9656444444444444,0.9384,0.020000000000000004
82,0.9677555555555556,0.9358,0.020000000000000004
83,0.9669555555555556,0.9372,0.020000000000000004
84,0.9679111111111112,0.9392,0.020000000000000004
85,0.9694666666666667,0.9388,0.020000000000000004
86,0.9685333333333334,0.9378,0.020000000000000004
87,0.9682222222222222,0.9386,0.020000000000000004
88,0.9694222222222222,0.9398,0.020000000000000004
89,0.9704444444444444,0.9396,0.020000000000000004
90,0.9699111111111111,0.9436,0.020000000000000004
91,0.971,0.9382,0.020000000000000004
92,0.9710222222222222,0.9396,0.020000000000000004
93,0.9702,0.9358,0.020000000000000004
94,0.9707555555555556,0.9384,0.020000000000000004
95,0.9717555555555556,0.938,0.020000000000000004
96,0.9733111111111111,0.9332,0.020000000000000004
97,0.9722,0.94,0.020000000000000004
98,0.9715111111111111,0.9388,0.020000000000000004
99,0.9713333333333334,0.9416,0.020000000000000004
100,0.9734,0.9404,0.020000000000000004
101,0.9748222222222223,0.9406,0.020000000000000004
102,0.9740444444444445,0.9408,0.020000000000000004
103,0.9727555555555556,0.9382,0.020000000000000004
104,0.9726888888888889,0.938,0.020000000000000004
105,0.9731777777777778,0.9376,0.020000000000000004
106,0.9713555555555555,0.9344,0.020000000000000004
107,0.9735555555555555,0.9404,0.020000000000000004
108,0.9741777777777778,0.943,0.020000000000000004
109,0.9738666666666667,0.9404,0.020000000000000004
110,0.9740222222222222,0.9382,0.020000000000000004
111,0.9720444444444445,0.9396,0.020000000000000004
112,0.9734222222222222,0.9392,0.020000000000000004
113,0.9736,0.9384,0.020000000000000004
114,0.9743555555555555,0.9376,0.020000000000000004
115,0.9736222222222222,0.9378,0.020000000000000004
116,0.9752,0.9376,0.020000000000000004
117,0.9758444444444444,0.9328,0.020000000000000004
118,0.9747555555555556,0.9356,0.020000000000000004
119,0.9746,0.935,0.020000000000000004
120,0.9748888888888889,0.939,0.0008000000000000003
121,0.9773555555555555,0.9418,0.0008000000000000003
122,0.9798666666666667,0.9418,0.0008000000000000003
123,0.9797777777777777,0.9428,0.0008000000000000003
124,0.9807111111111111,0.9442,0.0008000000000000003
125,0.981,0.9452,0.0008000000000000003
126,0.9814888888888889,0.9442,0.0008000000000000003
127,0.9823333333333333,0.9458,0.0008000000000000003
128,0.9821555555555556,0.946,0.0008000000000000003
129,0.9831777777777778,0.9454,0.0008000000000000003
130,0.9827555555555556,0.9448,0.0008000000000000003
131,0.9832444444444445,0.946,0.0008000000000000003
132,0.9821111111111112,0.9454,0.0008000000000000003
133,0.9849555555555556,0.9446,0.0008000000000000003
134,0.9834,0.9456,0.0008000000000000003
135,0.9839111111111111,0.946,0.0008000000000000003
136,0.9830666666666666,0.9452,0.0008000000000000003
137,0.9823333333333333,0.9458,0.0008000000000000003
138,0.9840888888888889,0.945,0.0008000000000000003
139,0.9846888888888888,0.946,0.0008000000000000003
140,0.9852,0.9446,0.0008000000000000003
141,0.9833555555555555,0.9452,0.0008000000000000003
142,0.9838444444444444,0.945,0.0008000000000000003
143,0.9845777777777778,0.9442,0.0008000000000000003
144,0.9845333333333334,0.9454,0.0008000000000000003
145,0.9853111111111111,0.945,0.0008000000000000003
146,0.9844444444444445,0.9438,0.0008000000000000003
147,0.9849555555555556,0.9434,0.0008000000000000003
148,0.9839777777777777,0.9452,0.0008000000000000003
149,0.9844,0.9456,0.0008000000000000003
150,0.9838444444444444,0.9438,0.0008000000000000003
151,0.9849333333333333,0.9448,0.0008000000000000003
152,0.9845111111111111,0.945,0.0008000000000000003
153,0.9856,0.945,0.0008000000000000003
154,0.9845777777777778,0.9456,0.0008000000000000003
155,0.9836666666666667,0.945,0.0008000000000000003
156,0.9849111111111111,0.9448,0.0008000000000000003
157,0.9855111111111111,0.945,0.0008000000000000003
158,0.9853777777777778,0.9458,0.0008000000000000003
159,0.9850444444444444,0.945,0.0008000000000000003
160,0.9848222222222223,0.9464,6.400000000000003e-06
161,0.9849777777777777,0.9456,6.400000000000003e-06
162,0.9857333333333334,0.946,6.400000000000003e-06
163,0.9847777777777778,0.9458,6.400000000000003e-06
164,0.9851111111111112,0.9444,6.400000000000003e-06
165,0.9836666666666667,0.9448,6.400000000000003e-06
166,0.9854,0.9454,6.400000000000003e-06
167,0.9848222222222223,0.945,6.400000000000003e-06
168,0.9860666666666666,0.9468,6.400000000000003e-06
169,0.9855555555555555,0.9458,6.400000000000003e-06
170,0.9849777777777777,0.946,6.400000000000003e-06
171,0.9865111111111111,0.9442,6.400000000000003e-06
172,0.9848888888888889,0.9458,6.400000000000003e-06
173,0.9852888888888889,0.9452,6.400000000000003e-06
174,0.9852666666666666,0.9458,6.400000000000003e-06
175,0.9855555555555555,0.9442,6.400000000000003e-06
176,0.9849333333333333,0.9456,6.400000000000003e-06
177,0.9854,0.9468,6.400000000000003e-06
178,0.9846222222222222,0.945,6.400000000000003e-06
179,0.9862444444444445,0.9468,6.400000000000003e-06
180,0.9856888888888888,0.9444,6.400000000000003e-06
181,0.9850888888888889,0.9458,6.400000000000003e-06
182,0.9862444444444445,0.9446,6.400000000000003e-06
183,0.9845777777777778,0.9454,6.400000000000003e-06
184,0.9857555555555556,0.9454,6.400000000000003e-06
185,0.9846444444444444,0.945,6.400000000000003e-06
186,0.9853555555555555,0.945,6.400000000000003e-06
187,0.9846222222222222,0.9446,6.400000000000003e-06
188,0.9846222222222222,0.9448,6.400000000000003e-06
189,0.9858666666666667,0.9446,6.400000000000003e-06
190,0.9846222222222222,0.9464,6.400000000000003e-06
191,0.9854,0.9448,6.400000000000003e-06
192,0.9844,0.9446,6.400000000000003e-06
193,0.9849333333333333,0.9458,6.400000000000003e-06
194,0.9854444444444445,0.9464,6.400000000000003e-06
195,0.9850666666666666,0.9448,6.400000000000003e-06
196,0.9857111111111111,0.9436,6.400000000000003e-06
197,0.9855333333333334,0.9454,6.400000000000003e-06
198,0.9853555555555555,0.946,6.400000000000003e-06
199,0.9845333333333334,0.945,6.400000000000003e-06
200,0.9848666666666667,0.9454,6.400000000000003e-06
